"camis","name","boro","cuisine","action","score","grade","rating","review_count","location.address1","coordinates.latitude","coordinates.longitude","ratings1"
50035614,"Eludz Restaurant and Lounge","BROOKLYN","Caribbean","violations",54,"C",3.5,22,"1904 Utica Ave",40.62536,-73.92776,"****"
40952198,"Emack & Bolio's","MANHATTAN","Ice Cream, Gelato, Yogurt, Ices","violations",10,"A",4,364,"1564 1st Ave",40.77382,-73.95139,"****"
41533491,"Emack & Bolio's","MANHATTAN","Ice Cream, Gelato, Yogurt, Ices","violations",3,"A",4,364,"1564 1st Ave",40.77382,-73.95139,"****"
50037013,"Ember Restaurant & Bar","BROOKLYN","Steak","violations",10,"A",4,14,"3793 US Hwy 1 S",40.4204386452479,-74.5295789837837,"****"
50060419,"Emblem","BROOKLYN","American","violations",7,"A",4.5,44,"187 Graham Ave",40.708429,-73.943698,"*****"
50011507,"Emeline's","BROOKLYN","American","violations",29,"C",3.5,135,"373 Lewis Ave",40.68266,-73.93481,"****"
50050962,"Manny's","BROOKLYN","Latin","violations",25,"B",3.5,246,"212 Patchen Ave",40.6835632324219,-73.9264678955078,"****"
50003964,"Emerald Inn","MANHATTAN","Irish","violations",16,"B",3.5,65,"250 W 72nd St",40.7792,-73.98381,"****"
40668598,"The Emerald Pub","QUEENS","American","violations",10,"A",2.5,12,"18301 Horace Harding Expy",40.7401351928711,-73.7911682128906,"***"
40925807,"Emerald Restaurant","QUEENS","Russian","violations",11,"A",4,24,"97-04 Queens Blvd",40.7288,-73.86,"****"
50058197,"NYC Health + Hospitals/Harlem","BRONX","Spanish","violations",7,"A",2,43,"506 Lenox Ave",40.81435,-73.94031,"**"
41556875,"Emergency Snack Bar","BRONX","Spanish","violations",8,"A",2.5,32,"1354 Edward L Grant Hwy",40.8407664,-73.9216364,"***"
50047231,"Lucciola","QUEENS","Pizza","violations",17,"B",3.5,47,"621 Amsterdam Ave",40.79039,-73.97251,"****"
40705438,"Emilia's Restaurant","BRONX","Italian","violations",35,"C",3.5,137,"2331 Arthur Ave",40.85415,-73.88894,"****"
50005485,"Emilio's Bakery & Coffee","BRONX","Bakery","violations",5,"A",3.5,10,"6 E Clarke Pl",40.8381271,-73.9188232,"****"
